# RFC 0044 conformance baseline — homing-demo's pre-existing violations, grandfathered to warnings.
# One finding fingerprint per line: '<moduleClass> [<rule>] <message>' (line-number-independent).
# Covers the whole homing-demo crate (browsed by the demo's conformance studio):
#   - the animation demos redraw via rootElement.replaceChildren();
#   - the SVG demos + standard MPA read the view param via URLSearchParams;
#   - two animation modules predate the 250 effective-line global cap;
#   - MovingAnimalGame's audio still uses setTimeout — flagged by the downstream game-loop rule;
#   - DocViewWidget renders markdown via innerHTML.
# Anything NOT here is a NEW violation and fails the build. Regenerate deliberately; list should shrink.
#
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [max-effective-lines] module exceeds the 250 effective-line limit — split it
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [max-effective-lines] module exceeds the 250 effective-line limit — split it
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [raf-game-loop] wall-clock timer in a game loop (use requestAnimationFrame): (function (note, t) { setTimeout(function () { deathSynth.triggerAttackRelease(note, '16n'); }, t); })(notes[di], timing[di]);
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [raf-game-loop] wall-clock timer in a game loop (use requestAnimationFrame): bgmTimer = setTimeout(bgmStep, durationToMs(dur, bgmData.bpm));
hue.captains.singapura.js.homing.demo.es.svg.DecomposedSvgDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.es.svg.ExtrudedSvgDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.es.svg.ExtrudedTurtleDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.studio.DemoStandardMPA [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.playground.DocViewWidget [view-doctrine] innerHTML/outerHTML write (Pure-Component Views): body.innerHTML = marked.parse(md);

# ---- 2026-08-22: the 0.7.0 view-rule surface (no-inline-style / no-literal-color /
# use-dom-ops-party / view-doctrine / no-raw-href) grandfathered over the pre-existing
# modules AND the WorkspaceMPA-GENERATED appMain boilerplate (mainHost tweaks, error
# fallbacks) that every MPA app inherits — framework debt, tracked upstream. The
# hand-written RFC 0050 grid demo widgets are strict-clean and NOT listed here.
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var cell = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M638.399063 752.262868c3.38919 10.552195-2.322732 21.901112-12.824975 25.362732l-54.881405 18.089834c-10.529717 3.474107-21.828683-2.332722-25.250342-12.924878-3.391688-10.554693 2.322732-21.906107 12.819981-25.357736l17.82759-5.879259a7.497678 7.497678 0 0 0 4.787825-9.413307l-10.522225-32.708059c-3.429151-10.65959 2.350205-22.120898 12.959844-25.602497l10.6496-3.494088c10.644605-3.489093 22.058459 2.385171 25.502595 13.074731l18.931512 58.852527z m-39.76117-57.68117l-10.6496 3.49159c-2.75481 0.904117-4.285815 3.938654-3.374205 6.77838l10.522224 32.705561c3.7888 11.761015-2.632429 24.366205-14.358478 28.234927l-17.830088 5.879259c-2.65241 0.876644-4.123473 3.79879-3.249326 6.528624 0.876644 2.704859 3.693893 4.150946 6.296351 3.289288l54.883902-18.089834c2.65241-0.876644 4.125971-3.801288 3.249327-6.53362l-18.936507-58.852527c-0.894127-2.812254-3.831259-4.325776-6.5536-3.431648z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M650.950318 508.131318l-19.159917-5.010566a3.746341 3.746341 0 0 0-1.898994 7.24899l19.157444 5.010218a3.748839 3.748839 0 0 0 1.901467-7.248642zM646.252079 523.130779l-19.15957-5.013039a3.748839 3.748839 0 0 0-1.898994 7.24899l19.157096 5.012691a3.753834 3.753834 0 0 0 4.573625-2.681354 3.736351 3.736351 0 0 0-2.672157-4.567288z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M656.858537 644.370732m-4.995122 0a4.995122 4.995122 0 1 0 9.990244 0 4.995122 4.995122 0 1 0-9.990244 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M681.834146 634.380488m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M691.232468 573.682263c9.323395 3.581502 12.385405 23.482068 9.181034 59.706693L644.455649 611.902439c21.856156-29.059122 37.450927-41.79918 46.776819-38.220176z" fill="#B0E6BB"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M693.213034 592.631259c-1.028995-7.582595-2.872195-11.231532-4.365736-11.833444-1.491044-0.601912-5.349776 0.741776-11.35641 5.479648-5.896741 4.647961-12.959844 11.925854-21.121873 21.80121l36.891473 14.907942c0.991532-12.772527 0.964059-22.915122-0.047454-30.355356z m1.248781-25.727376c14.001327 5.661971 17.013385 27.76039 12.782517 67.59399a7.492683 7.492683 0 0 1-10.254986 6.156488l-55.575726-22.453073a7.490185 7.490185 0 0 1-3.101971-11.55122c24.633444-31.596644 42.146341-45.405659 56.150166-39.746185z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M708.058537 615.64878m-3.746342 0a3.746341 3.746341 0 1 0 7.492683 0 3.746341 3.746341 0 1 0-7.492683 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M732.174985 526.126205c1.44359 5.309815 1.073951 10.55719-1.163863 15.951922a6.2464 6.2464 0 0 0 11.538732 4.780332c3.279298-7.924761 3.856234-15.999376 1.675863-24.009054a6.23641 6.23641 0 0 0-3.611473-4.120976c-0.581932-0.244761-1.231298 1.166361-1.870673 1.10642-0.721795-0.064937-1.438595-1.573463-2.180371-1.371161a6.241405 6.241405 0 0 0-4.388215 7.662517zM585.458263 587.249015c0.292215 1.131395 0.686829 3.106966 1.268761 6.263883 0.142361 0.789229 1.333698 7.425249 1.718322 9.485736 1.131395 6.109034 2.048 10.442302 2.979591 13.754068 0.189815 0.676839 0.382127 1.31122 0.574439 1.903142a71.415259 71.415259 0 0 0 4.907707 11.38638c1.161366 2.175376 5.154966 8.916293 5.799337 10.200039a7.497678 7.497678 0 0 0 10.057678 3.336742 7.497678 7.497678 0 0 0 3.336741-10.057678c-0.936585-1.86318-5.060059-8.818888-5.971668-10.52722a56.03278 56.03278 0 0 1-3.898693-9.02119c-0.12238-0.367141-0.249756-0.796722-0.384624-1.276254-0.771746-2.747317-1.61842-6.743415-2.669893-12.425365-0.372137-2.013034-1.560976-8.624078-1.713327-9.455766-0.641873-3.504078-1.086439-5.704429-1.493541-7.295376a7.492683 7.492683 0 0 0-14.51083 3.728859z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M739.023298 636.131278c-32.633132 59.546849-103.75118 119.975337-231.753678 123.636761H387.014556c-67.681405 0-124.08882-21.82119-157.823376-57.4464-6.890771-7.277893-18.811629-24.935649-22.797736-36.6592a169.269698 169.269698 0 0 1-4.860254-16.965932c55.728078 9.698029 94.590127 13.566751 116.583649 11.603669 39.581346-3.526556 74.554693-11.603668 93.810888-30.797425 63.168312 150.030985 252.745678 94.053151 327.095571 6.628527z" fill="#FFFFFF"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M743.164254 590.053776c7.67001 1.918127 11.918361 17.560351 12.747551 46.939161l-46.045034-11.481288c14.525815-25.550049 25.61998-37.371005 33.297483-35.457873z" fill="#B0E6BB"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M745.15481 605.556137c-1.198829-5.542088-2.619941-7.887298-3.111961-8.039649-0.487024-0.152351-2.97959 0.999024-7.068098 4.92519-4.018576 3.853737-8.718985 9.64558-14.043785 17.348059l26.166946 7.999687c-0.114888-9.363356-0.766751-16.7936-1.943102-22.233287z m1.268761-22.370654c12.510283 3.823766 16.384 21.743766 15.579785 54.888897a7.500176 7.500176 0 0 1-9.683044 6.985679l-45.38318-13.876449a7.492683 7.492683 0 0 1-4.118478-11.201561c17.867551-27.927727 31.102127-40.615337 43.604917-36.796566z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M755.429776 593.318088c-18.998946 70.723434-88.755824 161.302478-247.355942 165.940449H384.836683c-67.721366 0-121.910946-20.3776-155.665483-56.81202-6.895766-7.440234-18.911532-25.669932-22.900137-37.655727s-6.191454-19.156293-2.919648-27.922731c-8.102088-5.681951-21.6064-16.776117-26.90123-32.036215-5.9392-17.12078-3.87122-32.802966-3.311765-41.109854s1.268761-18.996449 3.311765-30.21799C192.659356 444.443473 275.668293 379.629268 369.032117 379.629268h24.308761c78.538302 0 167.361561 70.88078 183.653151 167.491434 1.883161 11.186576 10.150088 54.89639 17.425483 62.961015 22.797737 25.287805 75.166595 27.223415 100.347005 4.328273 3.496585-3.181893 8.20199-7.729951 14.113717-13.641678a19.992976 19.992976 0 0 0 5.137483-19.428527c-1.266263-4.605502-2.347707-7.899785-3.241834-9.887844-1.620917-3.356722-4.058537-13.664156-14.201132-23.477073-10.140098-9.815415-43.302712-25.172917-36.824039-30.0032 1.04398-0.779239 6.096546-3.856234 14.500839-5.527102 35.04078-6.978185 55.033756 18.334595 62.179278 28.082575 0.779239 1.063961 1.531005 2.122927 2.257795 3.171903 0.709307-1.051473 1.448585-2.132917 2.215337-3.246829 6.493659-9.435785 28.040117-33.929366 62.478985-27.83282 7.128039 1.258771 13.59922 4.538068 14.990361 5.354771 7.255415 4.265834-35.273054 30.0032-42.376117 38.087805s-15.782088 19.703259-20.567414 37.256117z" fill="#6ED8E6"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M755.429776 593.318088c4.785327-17.550361 13.464351-29.171512 20.564917-37.256117s49.631532-33.821971 42.376117-38.087805c-1.391141-0.816702-7.862322-4.096-14.990361-5.354771-34.438868-6.096546-55.985327 18.397034-62.478986 27.83282-0.766751 1.111415-3.693893 1.138888-4.473131 0.074926-7.143024-9.745483-27.136-35.060761-62.179278-28.082575-8.401795 1.670868-13.456859 4.750361-14.500839 5.527102-6.478673 4.830283 26.686439 20.187785 36.824039 30.0032 10.142595 9.815415 12.577717 20.122849 14.201131 23.477073 0.891629 1.988059 1.975571 5.282341 3.241835 9.887844a19.980488 19.980488 0 0 1-5.137483 19.428527c-5.911727 5.911727-10.617132 10.459785-14.113717 13.641678-25.18041 22.895141-77.549268 20.959532-100.347005-4.328273-7.272898-8.064624-15.542322-51.774439-17.425483-62.961015C560.702439 450.510049 471.87918 379.629268 393.340878 379.629268h-24.308761c-93.363824 0-176.372761 64.814205-192.581932 153.874732-2.040507 11.219044-2.749815 21.908605-3.311765 30.21799s-2.629932 23.986576 3.311765 41.109854c5.294829 15.260098 18.801639 26.354263 26.90123 32.036215-3.271805 8.766439-1.066459 15.936937 2.919648 27.922731s16.004371 30.215493 22.900137 37.655727C262.928234 738.880937 317.115317 759.258537 384.836683 759.258537h123.234654c158.602615-4.637971 228.356995-95.217015 247.358439-165.940449z m-17.245659-69.294829l0.504507 19.673287c2.327727-13.49682 2.342712-21.444059 0.044956-23.834224-3.963629 3.908683 0.187317 3.067005-0.549463 4.160937zM162.291512 609.744546c-4.930185-14.211122-5.666966-26.559063-4.438166-42.680819-0.022478 0.294712 0.277229-3.544039 0.332176-4.350751 0.971551-14.408429 1.718322-21.993522 3.519063-31.891356C179.127571 435.095102 267.910868 364.643902 369.032117 364.643902h24.308761c89.862244 0 181.615141 80.269112 198.428722 179.984235 3.69639 21.931083 11.029229 52.371356 13.776546 55.41838 17.103298 18.971473 59.946459 20.727259 79.137717 3.2768 3.291785-2.994576 7.844839-7.390283 13.59922-13.149658a4.995122 4.995122 0 0 0 1.286244-4.857757c-1.078946-3.916176-1.958088-6.601054-2.460098-7.717463-0.711805-1.65838-2.637424-6.643512-3.386692-8.234459a35.575259 35.575259 0 0 0-7.565113-10.624624c-1.948098-1.888156-6.011629-4.707902-13.714107-9.570654-11.341424-7.145522-14.4384-9.183532-18.289639-12.270517-3.391688-2.719844-5.879259-5.24238-7.709971-8.3968-4.250849-7.337834-3.366712-16.788605 4.355747-22.542985 4.243356-3.16441 11.731044-6.458693 20.529951-8.209483 19.733229-3.931161 37.445932 0.024976 52.641093 9.900332a82.299629 82.299629 0 0 1 14.76558 12.215571 86.552976 86.552976 0 0 1 15.007844-11.873405c15.295063-9.5232 32.945327-13.544273 52.253971-10.12761 7.555122 1.338693 15.335024 4.465639 19.972995 7.192975 8.906302 5.237385 10.047688 14.942907 6.151492 22.587942-1.570966 3.08199-3.80878 5.746888-6.883278 8.691512-3.906185 3.751337-9.111102 7.882302-16.910985 13.646673l-2.362693 1.738303c-15.857015 11.621151-17.52039 12.879922-18.704234 14.228605-8.419278 9.585639-13.976351 18.869073-17.368039 31.306926-11.498771 42.815688-37.555824 84.072898-76.360429 115.462244-46.334751 37.4784-108.291746 59.272117-185.014322 61.514927L384.836683 774.243902c-71.018146 0-129.508527-21.51399-166.659746-61.612331-9.238478-9.972761-21.778732-30.040663-26.126986-43.1104-3.986107-11.983298-5.839298-19.433522-5.374751-26.524098-11.131629-9.230985-19.800663-20.040429-24.383688-33.252527z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M788.190283 609.869424c-1.113912 0.884137-2.490068 2.517541-4.006088 4.897717-2.47758 3.8912-5.127493 9.413307-7.892293 16.518869l22.198322 1.163863c-2.008039-7.357815-4.061034-13.12718-6.124019-17.253151-1.258771-2.522537-2.452605-4.293307-3.474107-5.287337a5.362263 5.362263 0 0 0-0.332176-0.304702 5.92921 5.92921 0 0 0-0.369639 0.264741z m1.156371-15.409951c12.198088 0.639376 19.570888 15.399961 26.159453 44.341698 1.098927 4.845268-2.739824 9.408312-7.697483 9.146068l-42.406087-2.225327a7.500176 7.500176 0 0 1-6.703454-9.900332c9.583141-28.092566 18.459473-42.00398 30.647571-41.362107z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M789.613893 601.979629c7.048117 0.619395 13.009795 13.679141 17.882536 39.176742l-42.30119-3.701386c9.228488-24.263805 17.368039-36.089756 24.418654-35.475356z" fill="#B0E6BB"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <rect x="-2" y="-4" width="10" height="8" rx="2" fill="#c8b98a"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <rect x="-60" y="-4" width="8" height="8" rx="1" fill="#aaaaaa"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <rect x="-60" y="-5" width="60" height="10" rx="3" fill="#e8d5a3"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <rect x="-66" y="-4" width="10" height="8" rx="2" fill="#ff6600"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <rect x="-68" y="-3" width="5" height="6" rx="2" fill="#ffaa00"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <stop offset="0%" stop-color="#1a1a0f"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <stop offset="0%" stop-color="#FFF176"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <stop offset="100%" stop-color="#050503"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <stop offset="100%" stop-color="#B8860B"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <stop offset="40%" stop-color="#FFD700"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): fill="none" stroke="#8B7536" stroke-width="3" stroke-linecap="round"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): fill="none" stroke="#C9A84C" stroke-width="2"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): fill="url(#lensGrad)" stroke="#8B7536" stroke-width="2.5"/>
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): _loading.style.cssText = "padding:24px;";
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): cells.forEach((cell, i) => cell.style.transform = reversed[i] ? "scaleX(-1)" : "scaleX(1)");
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): cells.forEach((cell, i) => cell.style.transform = reversed[i] ? "scaleX(1)" : "scaleX(-1)");
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): cells[i].style.marginTop = offsets[i] + "px";
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): e.style.cssText = "padding:24px;color:#c33;";
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): e.style.cssText = "padding:24px;color:#c33;";
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const grid = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const h1 = document.createElement("h1");
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const hint = document.createElement("p");
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var _loading = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var _main = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var e = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimalsWidget [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): cells[n].style.marginTop = offsets[n] + 'px';
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimalsWidget [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): for (var j = 0; j < cells.length; j++) cells[j].style.transform = reversed[j] ? 'scaleX(1)' : 'scaleX(-1)';
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimalsWidget [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): for (var k = 0; k < cells.length; k++) cells[k].style.transform = reversed[k] ? 'scaleX(-1)' : 'scaleX(1)';
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): _loading.style.cssText = "padding:24px;";
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): cells[i].style.transform = "rotate(" + angles[i] + "deg)";
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): e.style.cssText = "padding:24px;color:#c33;";
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): e.style.cssText = "padding:24px;color:#c33;";
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const controls = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const grid = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const h1 = document.createElement("h1");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const hint = document.createElement("p");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const reverseBtn = document.createElement("button");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const speedLabel = document.createElement("label");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): const speedSlider = document.createElement("input");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var _loading = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var _main = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var e = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimalsWidget [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): cells[j].style.transform = 'rotate(' + angles[j] + 'deg)';
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): animal.style.height = ANIMAL_SIZE + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): animal.style.left = worldX + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): animal.style.top = worldY + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): animal.style.transform = facingRight ? "scaleX(1)" : "scaleX(-1)";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): animal.style.width  = ANIMAL_SIZE + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): e.style.cssText = "padding:24px;color:#c33;";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): el.style.height = PLATFORM_H + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): el.style.left = p.x + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): el.style.top = p.y + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): el.style.width = p.w + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): lava.style.height = LAVA_H + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): loading.style.cssText = "padding:24px;";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): overlay.style.display = "";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): overlay.style.display = "none";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): playground.style.height = VIEWPORT_H + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): sky.style.height = SKY_H + "px";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-inline-style] inline style write (use a typed css class via css.addClass, not element.style): world.style.transform = "translateX(" + (-cameraX) + "px)";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): e.style.cssText = "padding:24px;color:#c33;";
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): el = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var bgmDisplay = document.createElement("span");
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var bgmLabel = document.createElement("label");
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var bgmSlider = document.createElement("input");
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var controls = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var e = document.createElement("div");
